,,gain utilisation factor,thermal bridges factor,transmission factor,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,heating days,ventilation rate,heating degree days,irradiation heating season,temperature reduction factor
,,building,building,window,Door_1,Floor_1,Floor_2,Roof_1,Roof_2,Wall_1,Wall_2,Wall_3,Window_1,Window_2,building,building,building,building,building
2,30,0.9384490650580736,0.1,0.6,1.3,0.2796566591511412,0.3052677029360967,0.4104166666666667,0.2137404580152672,0.3982772926626891,0.3982772926626891,0.3982772926626891,1.3,1.3,222,0.6000000000000002,3463,403,0.88
2,31,0.9333776035995446,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1962616822429906,0.2336091218799972,0.2128872837863524,0.2183094015983367,1.3,1.3,222,0.6000000000000002,3463,403,0.88
2,32,0.9316571944441046,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.1842105263157895,0.1853486319505737,0.2248544468982132,0.2248544468982132,0.2248544468982132,1.3,1.3,222,0.6000000000000002,3463,403,0.9000000000000001
2,33,0.9354523657062964,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1842105263157895,0.1955421055694582,0.1955421055694582,0.1955421055694582,1.3,1.3,222,0.6000000000000002,3463,403,0.91
2,34,0.9545535506784896,0.1,0.6,1.3,0.260707635009311,0.2828282828282828,0.4104166666666667,0.1842105263157895,0.2128872837863524,0.2128872837863524,0.2128872837863524,1.3,1.3,222,0.6000000000000002,3463,403,0.95
2,35,0.9303270875075604,0.1,0.6,1.3,0.2351623740201567,0.253012048192771,0.4104166666666667,0.1686746987951807,0.1835764628749385,0.1835764628749385,0.1835764628749385,1.3,1.3,222,0.6000000000000002,3463,403,0.89
2,36,0.9113589576349168,0.1,0.6,1.3,0.2079894354572466,0.2218309859154929,0.4104166666666667,0.147887323943662,0.147478383004872,0.147478383004872,0.147478383004872,1.3,1.3,222,0.6000000000000002,3463,403,0.89
2,37,0.9292814363981337,0.05,0.6,1.3,0.1689460981496379,0.1779661016949152,0.4104166666666667,0.1316614420062695,0.147478383004872,0.147478383004872,0.147478383004872,1.3,1.3,222,0.5,3463,403,0.92
2,38,0.9214864650745264,0.05,0.6,1.8,0.35,0.2402745995423341,0.1598501239222266,0.2,0.2000278610234997,0.28,0.35,1.3,1.3,222,0.5,3463,403,0.92
2,39,0.933879795734842,0.05,0.5,1.3,0.35,0.1536344398703352,0.1309363620434119,0.2,0.1536344402010658,0.28,0.35,1.1,1.3,222,0.5,3463,403,0.95
2,40,0.9397494071293052,0.15,0.6,1.6,0.2924791086350975,0.3206106870229007,0.4104166666666667,0.2114803625377644,0.3408374863951423,0.3408374863951423,0.3408374863951423,1.6,1.6,222,0.6000000000000002,3463,403,0.89
2,41,0.9370084982137948,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.2008608321377331,0.2477972851620964,0.2477972851620964,0.2477972851620964,1.3,1.3,222,0.6000000000000002,3463,403,0.95
2,42,0.9080700650451592,0.1,0.6,1.3,0.3265940902021773,0.3620689655172414,0.4104166666666667,0.2008608321377331,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.9000000000000001
2,43,0.9589327946579704,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1853486319505737,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,44,0.9350765449600388,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.2248544468982132,0.2248544468982132,0.2248544468982132,1.3,1.3,222,0.6000000000000002,3463,403,0.94
2,45,0.9352136613291576,0.1,0.6,1.3,0.260707635009311,0.2828282828282828,0.4104166666666667,0.1842105263157895,0.2128872837863524,0.2128872837863524,0.2128872837863524,1.3,1.3,222,0.6000000000000002,3463,403,0.9000000000000001
2,46,0.9520554836943508,0.1,0.6,1.3,0.2351623740201567,0.253012048192771,0.4104166666666667,0.1686746987951807,0.1955421055694582,0.1955421055694582,0.1955421055694582,1.3,1.3,222,0.6000000000000002,3463,403,0.96
2,47,0.9424838161161332,0.1,0.6,1.3,0.2218309859154929,0.2218309859154929,0.4104166666666667,0.1402077151335311,0.1955421055694582,0.1955421055694582,0.1955421055694582,1.3,1.3,222,0.6000000000000002,3463,403,0.96
2,48,0.9174421624680896,0.05,0.6,1.3,0.1689460981496379,0.1779661016949152,0.4104166666666667,0.1316614420062695,0.147478383004872,0.147478383004872,0.147478383004872,1.3,1.3,222,0.5,3463,403,0.93
2,49,0.9545902035195044,0.05,0.6,1.8,0.35,0.2499305748403222,0.1598501239222266,0.2,0.2000278610234997,0.2000278610234997,0.35,1.3,1.3,222,0.5,3463,403,0.98
2,50,0.9610143848915588,0.05,0.5,1.3,0.35,0.1543998137364565,0.1316062416248617,0.2,0.1543998137161174,0.1543998137161174,0.35,1.1,1.1,222,0.5,3463,403,1.0
3,1,0.9559139724552396,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0948938093086308,0.1284524194305137,0.1284524194305137,0.1284524194305137,0.8,0.8,222,0.5,3463,403,1.02
3,2,0.9601661244006232,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0948938093086308,0.1284524194305137,0.1284524194305137,0.1284524194305137,0.8,0.8,222,0.5,3463,403,1.02
3,3,0.9623772414533536,0.05,0.5,0.8,0.2008608321377331,0.2137404580152672,0.1393604643914414,0.0919842312746386,0.1252033934094325,0.1252033934094325,0.1252033934094325,0.8,0.8,222,0.5,3463,403,1.02
3,4,0.9495944669215796,0.05,0.5,0.8,0.2008608321377331,0.2137404580152672,0.1393604643914414,0.0919842312746386,0.1252033934094325,0.1252033934094325,0.1252033934094325,0.8,0.8,222,0.5,3463,403,1.02
3,5,0.9623081932233708,0.05,0.5,0.8,0.1853486319505737,0.1962616822429906,0.1393604643914414,0.0879396984924623,0.1170609343971013,0.1170609343971013,0.1170609343971013,0.8,0.8,222,0.5,3463,403,1.02
3,6,0.9565129359380428,0.05,0.5,0.8,0.2390561937286557,0.2575250836120402,0.1393604643914414,0.1053027453930048,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.02
3,7,0.9492988713363554,0.05,0.5,0.8,0.2296964725184578,0.2466960352422907,0.1393604643914414,0.0948938093086308,0.1284524194305137,0.1284524194305137,0.1284524194305137,0.8,0.8,222,0.5,3463,403,1.01
