TRY,Haus,TT,UWH,UWB,USH,USB,SWX,SSX,WWH,WWB,WSH,WSB
6,MFH,F_el_TT,6.1451e-06,-3.5563e-06,-2.0049e-05,-2.0049e-05,-4.4302e-05,-4.6243e-05,4.3981e-05,1.1966e-05,2.4578e-05,-6.4667e-06
6,MFH,F_TWW_TT,2.5907e-06,-5.954e-06,-5.954e-06,6.3884e-06,-6.102e-05,-5.2475e-05,1.7781e-05,1.6832e-05,1.0186e-05,4.4895e-06
7,EFH,F_Heiz_TT,0.0015685,0.0022998,0.0017737,0.0024541,0.0,0.0,0.005474,0.0049812,0.0049676,0.0044643
7,EFH,F_el_TT,-6.7211e-05,-7.1373e-06,7.2961e-05,0.00014638,-0.00013777,-7.8654e-05,-5.2302e-06,5.5797e-05,9.8707e-05,0.00020074
7,EFH,F_TWW_TT,-0.000134,-6.9803e-05,0.00030485,0.00035755,-0.00021162,0.000141,7.2009e-05,2.2183e-05,0.00074082,0.00039588
7,MFH,F_Heiz_TT,0.001667,0.002234,0.0014646,0.0019703,0.00026704,0.00022197,0.0063925,0.0047685,0.0051927,0.0040709
7,MFH,F_el_TT,1.2329e-05,2.3929e-06,-1.4499e-05,-1.4499e-05,-3.934e-05,-4.1328e-05,5.1082e-05,1.8291e-05,3.1209e-05,-5.8802e-07
7,MFH,F_TWW_TT,1.1261e-05,2.4217e-06,2.4217e-06,1.5189e-05,-5.4541e-05,-4.5702e-05,2.6975e-05,2.5993e-05,1.9118e-05,1.3225e-05
8,EFH,F_Heiz_TT,0.0013255,0.0015865,0.0022007,0.0018516,0.0,0.0,0.0045772,0.0043286,0.0045331,0.0039376
8,EFH,F_el_TT,-9.1042e-05,-3.266e-05,4.5182e-05,0.00011654,-0.00015962,-0.00010216,-3.0807e-05,2.8501e-05,7.0203e-05,0.00016936
8,EFH,F_TWW_TT,-0.00015711,-9.4819e-05,0.00026872,0.00031986,-0.00023242,0.00010973,4.2787e-05,-5.5608e-06,0.00069177,0.00035705
8,MFH,F_Heiz_TT,0.0014072,0.001649,0.0015947,0.0015471,0.00034707,0.00028584,0.0054901,0.0042151,0.0047875,0.0036426
8,MFH,F_el_TT,4.9362e-06,-4.7193e-06,-2.1134e-05,-2.1134e-05,-4.5272e-05,-4.7203e-05,4.2592e-05,1.0729e-05,2.3282e-05,-7.6159e-06
8,MFH,F_TWW_TT,3.9192e-07,-8.0781e-06,-8.0781e-06,4.1564e-06,-6.2663e-05,-5.4193e-05,1.545e-05,1.4509e-05,7.9208e-06,2.2741e-06
9,EFH,F_Heiz_TT,0.0015775,0.0019581,0.0021288,0.0020348,0.0,0.0,0.0045457,0.0051825,0.005001,0.0043915
9,EFH,F_el_TT,-6.6976e-05,-6.8858e-06,7.3235e-05,0.00014668,-0.00013756,-7.8422e-05,-4.9781e-06,5.6066e-05,9.8988e-05,0.00020105
9,EFH,F_TWW_TT,-0.00013922,-7.5456e-05,0.00029669,0.00034903,-0.00021632,0.00013393,6.5406e-05,1.5914e-05,0.00072974,0.0003871
9,MFH,F_Heiz_TT,0.0016358,0.0019625,0.001606,0.0016983,0.00024096,0.00023233,0.0054139,0.0048892,0.0051799,0.0039814
9,MFH,F_el_TT,1.0598e-05,7.2746e-07,-1.6053e-05,-1.6053e-05,-4.0729e-05,-4.2704e-05,4.9094e-05,1.6521e-05,2.9352e-05,-2.2337e-06
9,MFH,F_TWW_TT,1.0283e-05,1.477e-06,1.477e-06,1.4197e-05,-5.5272e-05,-4.6466e-05,2.5938e-05,2.4959e-05,1.811e-05,1.224e-05
10,EFH,F_Heiz_TT,0.0013973,0.0015964,0.0020109,0.0017968,0.0,0.0,0.0046157,0.0045902,0.0049198,0.0041244
10,EFH,F_el_TT,-7.8173e-05,-1.8878e-05,6.0182e-05,0.00013265,-0.00014782,-8.9468e-05,-1.6996e-05,4.3241e-05,8.5595e-05,0.0001863
10,EFH,F_TWW_TT,-0.00014886,-8.589e-05,0.00028162,0.00033331,-0.000225,0.00012089,5.3217e-05,4.3416e-06,0.00070928,0.00037091
